t_s,left_rpm,right_rpm,center_speed_mps,encoder_speed_fit_mps,imu_accel_mps2,encoder_accel_raw_mps2,imu_accel_fit_mps2,imu_accel_calibrated_fit_mps2,encoder_accel_fit_mps2,fitted_accel_mps2
0.05,18,9,0.045945793,0.051109678,0.428,0.35735616,0.54110999,0.49280605,0.47790977,0.48535791
0.06,22,13,0.059559361,0.056416589,0.473,0.74874625,0.56633921,0.5137445,0.49502935,0.50438692
0.07,22,13,0.059559361,0.062031968,0.135,0.96996673,0.58815575,0.53185068,0.50911893,0.5204848
0.08,22,13,0.059559361,0.067851505,0.583,0.61261057,0.60609208,0.54673655,0.5200724,0.53340448
0.09,31,22,0.090189889,0.073753052,0.855,0.47647489,0.61958871,0.55793779,0.52807391,0.54300585
0.1,31,22,0.090189889,0.079663021,0.851,0.61261057,0.62803471,0.56494737,0.53343584,0.54919161
0.11,27,18,0.076576321,0.085570185,0.475,0.39139008,0.63037217,0.5668873,0.53612445,0.55150587
0.12,31,22,0.090189889,0.091407592,0.642,0.32332224,0.62586713,0.56314843,0.53643157,0.54979
0.13,31,22,0.090189889,0.097128622,0.574,0.61261057,0.6146166,0.5538113,0.53477012,0.54429071
0.14,31,27,0.098698369,0.10271851,0.432,0.76576321,0.59750708,0.53961161,0.53144987,0.53553074
0.15,36,31,0.11401363,0.10819118,0.473,0.78278017,0.57604558,0.5218001,0.5265714,0.52418575
0.16,36,31,0.11401363,0.11361827,0.629,0.69769537,0.55154207,0.50146393,0.5196416,0.51055277
0.17,40,36,0.1293289,0.11903719,0.917,0.52752577,0.52482015,0.47928663,0.51000504,0.49464584
0.18,40,36,0.1293289,0.12438605,0.486,0.37437312,0.49685702,0.45607923,0.49763865,0.47685894
0.19,40,36,0.1293289,0.12958946,0.748,0.22122048,0.46817595,0.43227598,0.48286015,0.45756807
0.2,40,40,0.13613568,0.13462019,0.335,0.13613568,0.43883267,0.40792315,0.46633869,0.43713092
0.21,40,36,0.1293289,0.13948375,0.37,0.39139008,0.40874068,0.38294894,0.44871755,0.41583325
0.22,40,40,0.13613568,0.14416049,0.107,0.57857665,0.37800295,0.35743881,0.43023568,0.39383725
0.23,40,40,0.13613568,0.14859965,0.505,0.66366145,0.34685687,0.33158978,0.41104422,0.371317
0.24,45,50,0.16166112,0.15276865,0.18,0.49349185,0.31623827,0.30617853,0.39131664,0.34874758
0.25,45,50,0.16166112,0.1566732,0.534,0.56155969,0.28762646,0.28243276,0.37111158,0.32677217
0.26,50,50,0.1701696,0.16030078,0.122,0.62962753,0.26198717,0.26115397,0.35043577,0.30579487
0.27,45,40,0.14464416,0.16364975,-0.078,0.30630528,0.23921617,0.24225566,0.32940687,0.28583127
0.28,54,54,0.18378317,0.16679559,0.122,0.28928832,0.21878756,0.22530137,0.30842482,0.26686309
0.29,50,54,0.17697639,0.16980009,0.169,0.30630528,0.19980863,0.20955021,0.28773354,0.24864188
0.3,50,54,0.17697639,0.17262841,0.019,-0.051050881,0.18086046,0.19382457,0.26744018,0.23063238
0.31,54,54,0.18378317,0.17525149,0.522,-0.068067841,0.16206542,0.17822603,0.24732113,0.21277358
0.32,45,50,0.16166112,0.177617,0.247,0.22122048,0.14470625,0.16381916,0.22708642,0.19545279
0.33,45,50,0.16166112,0.17967132,-0.032,0.068067841,0.1291542,0.15091206,0.20669116,0.17880161
0.34,54,59,0.19229165,0.1813943,0.074,0.22122048,0.11489225,0.13907566,0.18651693,0.16279629
0.35,54,54,0.18378317,0.182793,0.026,0.44244097,0.10180462,0.12821386,0.16723833,0.1477261
0.36,54,54,0.18378317,0.18393725,0.006,0.22122048,0.089885202,0.11832159,0.14958783,0.13395471
0.37,54,54,0.18378317,0.18491876,0.471,0.085084801,0.078037794,0.10848908,0.13410995,0.12129952
0.38,54,54,0.18378317,0.18581297,-0.12,0.085084801,0.065010716,0.097677536,0.12120116,0.10943935
0.39,54,59,0.19229165,0.18668193,0.222,0.085084801,0.051030714,0.08607513,0.11095741,0.098516268
0.4,54,59,0.19229165,0.18756172,0.326,0.1701696,0.037182796,0.074582344,0.10276512,0.088673732
0.41,54,54,0.18378317,0.18846798,0.231,0,0.023303982,0.063063916,0.095526668,0.079295292
0.42,54,59,0.19229165,0.18942486,-0.121,-0.1701696,0.0094841867,0.05159447,0.087724233,0.069659351
0.43,54,59,0.19229165,0.19044191,-0.045,0.15315264,-0.0042569387,0.040190314,0.078454836,0.059322575
0.44,54,54,0.18378317,0.19144066,-0.409,0.15315264,-0.01841776,0.02843784,0.067759784,0.048098812
0.45,54,54,0.18378317,0.19232172,-0.258,-0.085084801,-0.033215641,0.016156652,0.055833276,0.035994964
0.46,59,63,0.20760691,0.19296009,-0.331,0.085084801,-0.048273637,0.0036595875,0.042935568,0.023297578
0.47,54,54,0.18378317,0.1933343,0.331,0.1701696,-0.063456328,-0.0089409653,0.030017116,0.010538075
0.48,54,59,0.19229165,0.19349513,-0.153,0.01701696,-0.077965644,-0.020982664,0.017813728,-0.0015844682
0.49,59,54,0.19229165,0.19349474,-0.17,0.01701696,-0.091119142,-0.031899131,0.0070414671,-0.012428832
0.5,59,54,0.19229165,0.19338124,0.582,0.085084801,-0.10222716,-0.041118,-0.0018760012,-0.021497
0.51,59,59,0.20080013,0.19316132,-0.291,0.085084801,-0.11086136,-0.048283764,-0.0094070293,-0.028845397
0.52,54,59,0.19229165,0.1928215,-0.726,0.1701696,-0.11686456,-0.053265994,-0.016023212,-0.034644603
0.53,59,54,0.19229165,0.19237015,0.156,0,-0.11949235,-0.055446877,-0.021331624,-0.03838925
0.54,59,59,0.20080013,0.19182335,0.265,-0.089136458,-0.11753319,-0.053820908,-0.025021569,-0.039421238
0.551,59,59,0.20080013,0.19112252,-0.201,-0.27038059,-0.11072512,-0.048170699,-0.027014775,-0.037592737
0.56,54,59,0.19229165,0.1904949,-0.616,-0.54892136,-0.10303676,-0.041789907,-0.027131924,-0.034460916
0.57,54,59,0.19229165,0.18976711,0.236,-0.30630528,-0.092824635,-0.033314569,-0.025747939,-0.029531254
0.58,50,50,0.1701696,0.18904714,0.454,-0.085084801,-0.081024244,-0.023521085,-0.022598249,-0.023059667
0.59,50,50,0.1701696,0.18841695,-0.426,-0.085084801,-0.068997382,-0.013539645,-0.017992797,-0.015766221
0.6,59,59,0.20080013,0.18791493,-0.874,0.22122048,-0.05811732,-0.0045099687,-0.012130541,-0.0083202549
0.61,54,54,0.18378317,0.18757897,0.571,0.28928832,-0.048944067,0.0031031784,-0.005010567,-0.00095369429
0.62,54,59,0.19229165,0.18744953,-0.196,-0.01701696,-0.041217585,0.0095156087,0.0030744391,0.0062950239
0.63,54,59,0.19229165,0.18753955,-0.416,0,-0.034896559,0.01476161,0.011489061,0.013125335
0.64,54,50,0.17697639,0.18784618,0.27,0,-0.029994805,0.018829717,0.019737864,0.019283791
0.65,54,59,0.19229165,0.18836238,-0.09,-0.1701696,-0.026136965,0.022031449,0.027865406,0.024948427
0.66,54,59,0.19229165,0.18903812,-0.189,0.15315264,-0.022891333,0.024725093,0.035607665,0.030166379
0.67,54,54,0.18378317,0.18984366,0.575,0.23823744,-0.020645511,0.026588966,0.042283248,0.034436107
0.68,54,54,0.18378317,0.19072978,-0.001,0.085084801,-0.019905899,0.027202791,0.047308856,0.037255823
0.69,59,59,0.20080013,0.19165751,0.143,0.1701696,-0.021506357,0.025874525,0.050045387,0.037959956
0.7,54,59,0.19229165,0.19257387,-0.257,0.1701696,-0.025624007,0.022457169,0.050259357,0.036358263
